Model	#pos	#neg	AUROC	AP	Rc|FPR1e-1	Rc|FPR1e-2	Rc|FPR1e-3
bass-model1	65.0	2411.0	0.8394729285645918	0.4510931124232044	0.7076923076923077	0.4461538461538462	0.23076923076923078
bass-model-avg	65.0	2411.0	0.8394729285645918	0.4510931124232044	0.7076923076923077	0.4461538461538462	0.23076923076923078
bass-modelcomb1	65.0	2411.0	0.8394729285645918	0.4510931124232044	0.7076923076923077	0.4461538461538462	0.23076923076923078
