Model	#pos	#neg	AUROC	AP	Rc|FPR1e-1	Rc|FPR1e-2	Rc|FPR1e-3	Rc|FPR1e-4	Rc|FPR1e-5
bass-model1	67.0	437236.0	0.9900762291971698	0.2321748061949251	1.0	0.7164179104477612	0.5373134328358209	0.3283582089552239	0.05970149253731343
bass-model-avg	67.0	437236.0	0.9900762291971698	0.2321748061949251	1.0	0.7164179104477612	0.5373134328358209	0.3283582089552239	0.05970149253731343
bass-modelcomb1	67.0	437236.0	0.9900762291971698	0.2321748061949251	1.0	0.7164179104477612	0.5373134328358209	0.3283582089552239	0.05970149253731343
