Model	#pos	#neg	AUROC	AP	Rc|FPR1e-1	Rc|FPR1e-2	Rc|FPR1e-3	Rc|FPR1e-4	Rc|FPR1e-5
bass-model1	92.0	437236.0	0.9381440159468153	0.04359504339261487	0.8152173913043478	0.44565217391304346	0.2391304347826087	0.08695652173913043	0.010869565217391304
bass-model-avg	92.0	437236.0	0.9381440159468153	0.04359504339261487	0.8152173913043478	0.44565217391304346	0.2391304347826087	0.08695652173913043	0.010869565217391304
bass-modelcomb1	92.0	437236.0	0.9381440159468153	0.04359504339261487	0.8152173913043478	0.44565217391304346	0.2391304347826087	0.08695652173913043	0.010869565217391304
