Model	#pos	#neg	AUROC	AP	Rc|FPR1e-1	Rc|FPR1e-2	Rc|FPR1e-3	Rc|FPR1e-4	Rc|FPR1e-5
bass-model1	143.0	437236.0	0.99735048112469	0.786677190509331	0.993006993006993	0.965034965034965	0.9090909090909091	0.7272727272727273	0.46153846153846156
bass-model-avg	143.0	437236.0	0.99735048112469	0.786677190509331	0.993006993006993	0.965034965034965	0.9090909090909091	0.7272727272727273	0.46153846153846156
bass-modelcomb1	143.0	437236.0	0.99735048112469	0.786677190509331	0.993006993006993	0.965034965034965	0.9090909090909091	0.7272727272727273	0.46153846153846156
