Model	#pos	#neg	AUROC	AP	Rc|FPR1e-1	Rc|FPR1e-2	Rc|FPR1e-3	Rc|FPR1e-4	Rc|FPR1e-5
bass-model1	65.0	437236.0	0.9920916322605571	0.12386390087590637	1.0	0.8153846153846154	0.46153846153846156	0.16923076923076924	0.06153846153846154
bass-model2	65.0	437236.0	0.9904221237325099	0.08186679142241314	0.9846153846153847	0.7846153846153846	0.4461538461538462	0.1076923076923077	0.046153846153846156
bass-model3	65.0	437236.0	0.9917657916829988	0.1477393063827899	0.9846153846153847	0.7846153846153846	0.49230769230769234	0.23076923076923078	0.046153846153846156
bass-model4	65.0	437236.0	0.9893186710644559	0.16047776925351465	0.9846153846153847	0.7230769230769231	0.4461538461538462	0.2	0.09230769230769231
bass-model5	65.0	437236.0	0.9869683473174494	0.1359469759686448	0.9538461538461539	0.8	0.6	0.15384615384615385	0.06153846153846154
bass-model6	65.0	437236.0	0.9817433394533633	0.09463106730974405	0.9230769230769231	0.7076923076923077	0.4	0.16923076923076924	0.03076923076923077
bass-model-avg	65.0	437236.0	0.9887183175852224	0.12408763520216881	0.9717948717948719	0.7692307692307693	0.4743589743589744	0.17179487179487177	0.05641025641025641
bass-modelcomb123456	65.0	437236.0	0.9942091825783927	0.1662868928052701	1.0	0.8769230769230769	0.5538461538461539	0.24615384615384617	0.046153846153846156
