Model	#pos	#neg	AUROC	AP	Rc|FPR1e-1	Rc|FPR1e-2	Rc|FPR1e-3
bass-model1	67.0	2411.0	0.9566538935352272	0.6100421050957452	0.8955223880597015	0.5522388059701493	0.26865671641791045
bass-model2	67.0	2411.0	0.974773581284783	0.7326278727750684	0.9104477611940298	0.7164179104477612	0.31343283582089554
bass-model3	67.0	2411.0	0.9477395271671506	0.7004338022667693	0.835820895522388	0.7014925373134329	0.373134328358209
bass-model4	67.0	2411.0	0.9511257482805797	0.6390290969319701	0.8656716417910447	0.5671641791044776	0.3283582089552239
bass-model5	67.0	2411.0	0.9857617759398776	0.8148918865092611	0.9552238805970149	0.835820895522388	0.4925373134328358
bass-model6	67.0	2411.0	0.9566724651318275	0.72272909999651	0.9253731343283582	0.6865671641791045	0.22388059701492538
bass-model-avg	67.0	2411.0	0.962121165223241	0.7032923105958874	0.8980099502487562	0.6766169154228855	0.3333333333333333
bass-modelcomb123456	67.0	2411.0	0.9932399388375418	0.857712063066027	1.0	0.8507462686567164	0.5970149253731343
