Model	#pos	#neg	AUROC	AP	Rc|FPR1e-1	Rc|FPR1e-2	Rc|FPR1e-3	Rc|FPR1e-4	Rc|FPR1e-5
bass-model1	92.0	437236.0	0.9427607024084496	0.09069297013721896	0.782608695652174	0.40217391304347827	0.22826086956521738	0.13043478260869565	0.08695652173913043
bass-model2	92.0	437236.0	0.7546946341185956	0.0033428782884738282	0.4782608695652174	0.17391304347826086	0.05434782608695652	0.010869565217391304	0.0
bass-model3	92.0	437236.0	0.8965839809125069	0.025195363050032154	0.6630434782608695	0.18478260869565216	0.09782608695652174	0.05434782608695652	0.010869565217391304
bass-model4	92.0	437236.0	0.8077041246653385	0.06302769818351239	0.6195652173913043	0.25	0.08695652173913043	0.07608695652173914	0.06521739130434782
bass-model5	92.0	437236.0	0.7512497852120057	0.08118980545428597	0.5108695652173914	0.2608695652173913	0.13043478260869565	0.09782608695652174	0.07608695652173914
bass-model6	92.0	437236.0	0.805967921711367	0.0352377780237465	0.391304347826087	0.29347826086956524	0.20652173913043478	0.06521739130434782	0.021739130434782608
bass-model-avg	92.0	437236.0	0.8264935248380438	0.04978108218954497	0.5742753623188405	0.2608695652173913	0.13405797101449277	0.07246376811594203	0.043478260869565216
bass-modelcomb123456	92.0	437236.0	0.9087257423808932	0.034730254937519224	0.7608695652173914	0.391304347826087	0.21739130434782608	0.06521739130434782	0.010869565217391304
