Model	#pos	#neg	AUROC	AP	Rc|FPR1e-1	Rc|FPR1e-2	Rc|FPR1e-3	Rc|FPR1e-4	Rc|FPR1e-5
bass-model1	181.0	437236.0	0.9860062803359062	0.6234403849923632	0.9723756906077348	0.856353591160221	0.7016574585635359	0.580110497237569	0.4530386740331492
bass-model2	181.0	437236.0	0.9860086306096928	0.49943617195216905	0.9668508287292817	0.850828729281768	0.574585635359116	0.4419889502762431	0.34806629834254144
bass-model3	181.0	437236.0	0.9847512151799989	0.6049116507859271	0.9502762430939227	0.861878453038674	0.6906077348066298	0.5248618784530387	0.430939226519337
bass-model4	181.0	437236.0	0.9892493422645086	0.6242996180609132	0.9834254143646409	0.9281767955801105	0.6519337016574586	0.580110497237569	0.5248618784530387
bass-model5	181.0	437236.0	0.9593850197794493	0.46075442567939034	0.9116022099447514	0.7182320441988951	0.5027624309392266	0.43646408839779005	0.3812154696132597
bass-model6	181.0	437236.0	0.9829526808006235	0.609233232377922	0.9447513812154696	0.8232044198895028	0.7403314917127072	0.5524861878453039	0.3314917127071823
bass-model-avg	181.0	437236.0	0.9813921948283632	0.5703459139747808	0.9548802946593002	0.8397790055248618	0.643646408839779	0.5193370165745856	0.4116022099447514
bass-modelcomb123456	181.0	437236.0	0.9938268289969603	0.6774336774406591	0.9779005524861878	0.9116022099447514	0.7569060773480663	0.6132596685082873	0.425414364640884
