Model	#pos	#neg	AUROC	AP	Rc|FPR1e-1	Rc|FPR1e-2	Rc|FPR1e-3	Rc|FPR1e-4	Rc|FPR1e-5
bass-model1	143.0	437236.0	0.9992483216405766	0.7614706770283393	1.0	0.986013986013986	0.9090909090909091	0.7482517482517482	0.4125874125874126
bass-model2	143.0	437236.0	0.998540809792628	0.6642093881630278	1.0	0.972027972027972	0.8111888111888111	0.5804195804195804	0.4405594405594406
bass-model3	143.0	437236.0	0.9971906724038296	0.7627575652777472	0.993006993006993	0.951048951048951	0.8741258741258742	0.7342657342657343	0.43356643356643354
bass-model4	143.0	437236.0	0.999032543081981	0.7219740809315784	1.0	0.9790209790209791	0.8671328671328671	0.6503496503496503	0.44755244755244755
bass-model5	143.0	437236.0	0.9917278834934289	0.7020734128852056	0.986013986013986	0.965034965034965	0.8181818181818182	0.6503496503496503	0.3916083916083916
bass-model6	143.0	437236.0	0.9994289461190632	0.7892474489629473	1.0	0.986013986013986	0.951048951048951	0.7342657342657343	0.4195804195804196
bass-model-avg	143.0	437236.0	0.9975281960885846	0.7336220955414743	0.9965034965034966	0.9731934731934732	0.8717948717948717	0.6829836829836831	0.42424242424242425
bass-modelcomb123456	143.0	437236.0	0.9997307786030581	0.827125106589403	1.0	1.0	0.9370629370629371	0.7622377622377622	0.6153846153846154
