Model	#pos	#neg	AUROC	AP	Rc|FPR1e-1	Rc|FPR1e-2	Rc|FPR1e-3	Rc|FPR1e-4	Rc|FPR1e-5
bass-model1	78.0	437236.0	0.9485509468453462	0.02190742854270876	0.8589743589743589	0.32051282051282054	0.11538461538461539	0.02564102564102564	0.01282051282051282
bass-model2	78.0	437236.0	0.7480704400439967	0.031245370235479252	0.38461538461538464	0.15384615384615385	0.05128205128205128	0.05128205128205128	0.02564102564102564
bass-model3	78.0	437236.0	0.9015797605986886	0.0487428603605376	0.5128205128205128	0.21794871794871795	0.14102564102564102	0.05128205128205128	0.038461538461538464
bass-model4	78.0	437236.0	0.8383881784430915	0.020329213272176738	0.5897435897435898	0.10256410256410256	0.02564102564102564	0.02564102564102564	0.02564102564102564
bass-model5	78.0	437236.0	0.6581865018738927	0.03315577363613722	0.32051282051282054	0.14102564102564102	0.08974358974358974	0.0641025641025641	0.038461538461538464
bass-model6	78.0	437236.0	0.8668007373123147	0.026775016463232604	0.48717948717948717	0.24358974358974358	0.10256410256410256	0.038461538461538464	0.02564102564102564
bass-model-avg	78.0	437236.0	0.8269294275195551	0.030359277085045364	0.5256410256410257	0.19658119658119658	0.08760683760683761	0.04273504273504273	0.027777777777777776
bass-modelcomb123456	78.0	437236.0	0.9182582791057391	0.022857334312436063	0.6666666666666666	0.2564102564102564	0.11538461538461539	0.038461538461538464	0.02564102564102564
