Model	#pos	#neg	AUROC	AP	Rc|FPR1e-1	Rc|FPR1e-2	Rc|FPR1e-3
bass-model1	143.0	2411.0	0.9922412717933249	0.9507899157743229	0.972027972027972	0.9090909090909091	0.7972027972027972
bass-model2	143.0	2411.0	0.9890014589309488	0.9195604767840874	0.972027972027972	0.8531468531468531	0.6713286713286714
bass-model3	143.0	2411.0	0.9806510370591665	0.9236081531023084	0.951048951048951	0.8741258741258742	0.7622377622377622
bass-model4	143.0	2411.0	0.992751752602437	0.947644706563753	0.986013986013986	0.9020979020979021	0.7552447552447552
bass-model5	143.0	2411.0	0.9787338335658535	0.9231632005359541	0.972027972027972	0.8461538461538461	0.7202797202797203
bass-model6	143.0	2411.0	0.9926647388281564	0.9529511019292065	0.986013986013986	0.951048951048951	0.5874125874125874
bass-model-avg	143.0	2411.0	0.9876740154633145	0.9362862591149387	0.973193473193473	0.8892773892773892	0.7156177156177156
bass-modelcomb123456	143.0	2411.0	0.9983235346155296	0.9782338893232488	1.0	0.965034965034965	0.8531468531468531
