Model	#pos	#neg	AUROC	AP	Rc|FPR1e-1	Rc|FPR1e-2	Rc|FPR1e-3	Rc|FPR1e-4	Rc|FPR1e-5
bass-model1	92.0	437236.0	0.9319748771631439	0.10596616003479149	0.8586956521739131	0.5434782608695652	0.2826086956521739	0.15217391304347827	0.06521739130434782
bass-model2	92.0	437236.0	0.9523976107619921	0.06543348520782352	0.8804347826086957	0.5543478260869565	0.2826086956521739	0.11956521739130435	0.03260869565217391
bass-model3	92.0	437236.0	0.9326738952439176	0.14851582292947693	0.8913043478260869	0.5869565217391305	0.29347826086956524	0.18478260869565216	0.08695652173913043
bass-model4	92.0	437236.0	0.9269479307165527	0.11726105183409852	0.8804347826086957	0.5543478260869565	0.21739130434782608	0.15217391304347827	0.07608695652173914
bass-model5	92.0	437236.0	0.9093338484599104	0.10581836112956473	0.8478260869565217	0.5652173913043478	0.30434782608695654	0.13043478260869565	0.06521739130434782
bass-model6	92.0	437236.0	0.8824901719576772	0.08185065650824035	0.717391304347826	0.4782608695652174	0.2826086956521739	0.10869565217391304	0.03260869565217391
bass-model-avg	92.0	437236.0	0.9226363890505324	0.10414092294066592	0.8460144927536232	0.5471014492753623	0.27717391304347827	0.14130434782608697	0.05978260869565217
bass-modelcomb123456	92.0	437236.0	0.9655140224739838	0.14779013024689772	0.9347826086956522	0.6304347826086957	0.32608695652173914	0.20652173913043478	0.043478260869565216
