Model	#pos	#neg	AUROC	AP	Rc|FPR1e-1	Rc|FPR1e-2	Rc|FPR1e-3	Rc|FPR1e-4	Rc|FPR1e-5
bass-model1	67.0	437236.0	0.9957824272775672	0.11409159471653786	1.0	0.8955223880597015	0.6119402985074627	0.19402985074626866	0.014925373134328358
bass-model2	67.0	437236.0	0.9965985615473484	0.23771518545933495	1.0	0.9104477611940298	0.6119402985074627	0.2537313432835821	0.13988597014925372
bass-model3	67.0	437236.0	0.9941150672002946	0.2940962414639682	1.0	0.835820895522388	0.6865671641791045	0.373134328358209	0.1044776119402985
bass-model4	67.0	437236.0	0.993477496971136	0.22445777415168194	1.0	0.8656716417910447	0.5223880597014925	0.2835820895522388	0.11940298507462686
bass-model5	67.0	437236.0	0.9976754757804898	0.3350917913272424	1.0	0.9402985074626866	0.7611940298507462	0.3582089552238806	0.14925373134328357
bass-model6	67.0	437236.0	0.9964990729416526	0.351028185582876	1.0	0.9253731343283582	0.6865671641791045	0.3880597014925373	0.14925373134328357
bass-model-avg	67.0	437236.0	0.9956913502864148	0.2594134621169402	1.0	0.8955223880597014	0.6467661691542288	0.30845771144278605	0.11286656716417909
bass-modelcomb123456	67.0	437236.0	0.9989683156184789	0.3747365855994831	1.0	1.0	0.7164179104477612	0.417910447761194	0.14925373134328357
