Model	#pos	#neg	AUROC	AP	Rc|FPR1e-1	Rc|FPR1e-2	Rc|FPR1e-3	Rc|FPR1e-4	Rc|FPR1e-5
bass-model1	92.0	437236.0	0.9157644866547049	0.11711036689403778	0.7282608695652174	0.5760869565217391	0.2717391304347826	0.13043478260869565	0.08695652173913043
bass-model2	92.0	437236.0	0.9193562440858721	0.07569932523828767	0.8152173913043478	0.5108695652173914	0.22826086956521738	0.10869565217391304	0.043478260869565216
bass-model3	92.0	437236.0	0.9104304977870871	0.1744852418609751	0.7717391304347826	0.4673913043478261	0.2826086956521739	0.16304347826086957	0.11956521739130435
bass-model4	92.0	437236.0	0.8919502904013235	0.13944680869772044	0.8152173913043478	0.5217391304347826	0.1956521739130435	0.15217391304347827	0.11956521739130435
bass-model5	92.0	437236.0	0.9024566550866768	0.10503896670082827	0.8152173913043478	0.5543478260869565	0.2717391304347826	0.13043478260869565	0.06521739130434782
bass-model6	92.0	437236.0	0.8546648223404971	0.08584370675086249	0.6195652173913043	0.4673913043478261	0.30434782608695654	0.13043478260869565	0.03260869565217391
bass-model-avg	92.0	437236.0	0.899103832726027	0.11627073602378529	0.7608695652173912	0.516304347826087	0.25905797101449274	0.13586956521739132	0.07789855072463768
bass-modelcomb123456	92.0	437236.0	0.9461716675145491	0.14859402656607004	0.9021739130434783	0.6521739130434783	0.33695652173913043	0.18478260869565216	0.05434782608695652
