Model	#pos	#neg	AUROC	AP	Rc|FPR1e-1	Rc|FPR1e-2	Rc|FPR1e-3	Rc|FPR1e-4	Rc|FPR1e-5
bass-model1	181.0	437236.0	0.9942439520505735	0.7493764036141032	0.988950276243094	0.9502762430939227	0.8729281767955801	0.6795580110497238	0.5027624309392266
bass-model2	181.0	437236.0	0.996445861645498	0.7008938517636032	0.988950276243094	0.9613259668508287	0.7955801104972375	0.6077348066298343	0.44404618784530386
bass-model3	181.0	437236.0	0.9925752071185092	0.7960797617282679	0.9834254143646409	0.9558011049723757	0.8839779005524862	0.712707182320442	0.5580110497237569
bass-model4	181.0	437236.0	0.9932031851112532	0.7459403042573453	0.988950276243094	0.9779005524861878	0.8397790055248618	0.6795580110497238	0.5027624309392266
bass-model5	181.0	437236.0	0.9978630767388652	0.6953951523939619	1.0	0.9171270718232044	0.7900552486187845	0.6243093922651933	0.46408839779005523
bass-model6	181.0	437236.0	0.9964481297860609	0.8059362473084741	0.9834254143646409	0.9723756906077348	0.9226519337016574	0.7403314917127072	0.4530386740331492
bass-model-avg	181.0	437236.0	0.9951299020751266	0.7489369535109592	0.9889502762430938	0.9558011049723757	0.8508287292817679	0.6740331491712707	0.48745152854511975
bass-modelcomb123456	181.0	437236.0	0.9984465701140499	0.8330769314280815	0.994475138121547	0.988950276243094	0.8839779005524862	0.7955801104972375	0.5911602209944752
