Model	#pos	#neg	AUROC	AP	Rc|FPR1e-1	Rc|FPR1e-2	Rc|FPR1e-3	Rc|FPR1e-4	Rc|FPR1e-5
bass-model1	78.0	437236.0	0.937444010170181	0.04782844179037835	0.782051282051282	0.4358974358974359	0.19230769230769232	0.05128205128205128	0.02564102564102564
bass-model2	78.0	437236.0	0.9398206237739121	0.058147825267285375	0.8589743589743589	0.48717948717948717	0.19230769230769232	0.0641025641025641	0.038461538461538464
bass-model3	78.0	437236.0	0.9400908234501535	0.09299820429056929	0.8461538461538461	0.5769230769230769	0.2692307692307692	0.1282051282051282	0.0641025641025641
bass-model4	78.0	437236.0	0.9194080718246158	0.02780929761665605	0.8333333333333334	0.38461538461538464	0.0641025641025641	0.038461538461538464	0.02564102564102564
bass-model5	78.0	437236.0	0.9184341214777866	0.0858982085967344	0.8461538461538461	0.4230769230769231	0.15384615384615385	0.1282051282051282	0.0641025641025641
bass-model6	78.0	437236.0	0.8856184221113002	0.10756604407597824	0.6666666666666666	0.46153846153846156	0.21794871794871795	0.14102564102564102	0.0641025641025641
bass-model-avg	78.0	437236.0	0.9234693454679915	0.07004133693960028	0.8055555555555557	0.4615384615384615	0.18162393162393164	0.09188034188034189	0.04700854700854701
bass-modelcomb123456	78.0	437236.0	0.970893264002706	0.06896495447944685	0.9358974358974359	0.5641025641025641	0.3076923076923077	0.10256410256410256	0.02564102564102564
