Model	#pos	#neg	AUROC	AP	Rc|FPR1e-1	Rc|FPR1e-2	Rc|FPR1e-3	Rc|FPR1e-4	Rc|FPR1e-5
bass-model1	78.0	437236.0	0.9596565053995366	0.07022224730065775	0.8974358974358975	0.6025641025641025	0.3717948717948718	0.1282051282051282	0.01282051282051282
bass-model2	78.0	437236.0	0.9887889272260642	0.15004500115460906	0.9487179487179487	0.8333333333333334	0.5128205128205128	0.23076923076923078	0.05128205128205128
bass-model3	78.0	437236.0	0.9564994354981913	0.1971967975720115	0.8717948717948718	0.7307692307692307	0.47435897435897434	0.20512820512820512	0.08974358974358974
bass-model4	78.0	437236.0	0.950955606677002	0.06780380118344852	0.8974358974358975	0.717948717948718	0.24358974358974358	0.08974358974358974	0.05128205128205128
bass-model5	78.0	437236.0	0.9577835217078097	0.2749070170328919	0.9102564102564102	0.7564102564102564	0.5	0.24358974358974358	0.20512820512820512
bass-model6	78.0	437236.0	0.9434793003883838	0.22890055415614402	0.8717948717948718	0.7051282051282052	0.5512820512820513	0.2692307692307692	0.08974358974358974
bass-model-avg	78.0	437236.0	0.9595272161494979	0.16484590306662714	0.8995726495726496	0.7243589743589743	0.44230769230769235	0.19444444444444445	0.08333333333333333
bass-modelcomb123456	78.0	437236.0	0.9912731808744488	0.23510518611172904	0.9743589743589743	0.8846153846153846	0.6410256410256411	0.32051282051282054	0.0641025641025641
