Model	#pos	#neg	AUROC	AP	Rc|FPR1e-1	Rc|FPR1e-2	Rc|FPR1e-3	Rc|FPR1e-4	Rc|FPR1e-5
bass-model1	181.0	437236.0	0.9710695954481313	0.451902608661176	0.9171270718232044	0.6685082872928176	0.4972375690607735	0.4198895027624309	0.4088397790055249
bass-model2	181.0	437236.0	0.9001119109398876	0.25531156602562083	0.7403314917127072	0.4419889502762431	0.3314917127071823	0.24861878453038674	0.1878453038674033
bass-model3	181.0	437236.0	0.9313912372392138	0.3726209937202854	0.7734806629834254	0.56353591160221	0.4530386740331492	0.3259668508287293	0.287292817679558
bass-model4	181.0	437236.0	0.9160952194976287	0.44796500323102767	0.8121546961325967	0.569060773480663	0.4530386740331492	0.43646408839779005	0.43646408839779005
bass-model5	181.0	437236.0	0.801845694012852	0.24233241392805244	0.585635359116022	0.3314917127071823	0.2541436464088398	0.2430939226519337	0.20441988950276244
bass-model6	181.0	437236.0	0.9597771869689297	0.3289856543259763	0.8453038674033149	0.6077348066298343	0.4585635359116022	0.3259668508287293	0.13812154696132597
bass-model-avg	181.0	437236.0	0.9133818073511072	0.34985303998202305	0.7790055248618785	0.5303867403314917	0.40791896869244937	0.3333333333333333	0.2771639042357274
bass-modelcomb123456	181.0	437236.0	0.9685929123121948	0.4693440330475053	0.9116022099447514	0.7016574585635359	0.6353591160220995	0.40331491712707185	0.19337016574585636
