Model	#pos	#neg	AUROC	AP	Rc|FPR1e-1	Rc|FPR1e-2	Rc|FPR1e-3
bass-model1	44.0	2411.0	0.9652822291768787	0.6258974973086295	0.9318181818181818	0.5227272727272727	0.4090909090909091
bass-model2	44.0	2411.0	0.9707495946608348	0.6765069832897433	0.9090909090909091	0.6818181818181818	0.4090909090909091
bass-model3	44.0	2411.0	0.9553844123524755	0.6485328333258913	0.9318181818181818	0.5681818181818182	0.36363636363636365
bass-model4	44.0	2411.0	0.9608800573130727	0.6627391710619552	0.8636363636363636	0.6590909090909091	0.4318181818181818
bass-model5	44.0	2411.0	0.9771501828739491	0.6843748326820145	0.9318181818181818	0.7272727272727273	0.36363636363636365
bass-model6	44.0	2411.0	0.938916330455111	0.5569372009591614	0.8409090909090909	0.5681818181818182	0.20454545454545456
bass-model-avg	44.0	2411.0	0.9613938011387203	0.6424980864378992	0.9015151515151515	0.6212121212121212	0.3636363636363637
bass-modelcomb123456	44.0	2411.0	0.9870668526827797	0.7858201008486161	0.9772727272727273	0.8181818181818182	0.5227272727272727
