Model	#pos	#neg	AUROC	AP	Rc|FPR1e-1	Rc|FPR1e-2	Rc|FPR1e-3
bass-model1	65.0	2411.0	0.9219506747918196	0.49734513604771086	0.8	0.4461538461538462	0.18461538461538463
bass-model2	65.0	2411.0	0.9308553744057685	0.5069023777057496	0.8	0.47692307692307695	0.18461538461538463
bass-model3	65.0	2411.0	0.9349264588584373	0.5623103886842217	0.8307692307692308	0.5076923076923077	0.24615384615384617
bass-model4	65.0	2411.0	0.9208754745876272	0.544580821559662	0.7230769230769231	0.46153846153846156	0.3076923076923077
bass-model5	65.0	2411.0	0.9239638834827554	0.6013326777279966	0.8615384615384616	0.6	0.2
bass-model6	65.0	2411.0	0.8208467600421147	0.40014185557760257	0.6461538461538462	0.4	0.1076923076923077
bass-model-avg	65.0	2411.0	0.9089031043614204	0.5187688762171573	0.7769230769230769	0.48205128205128206	0.20512820512820515
bass-modelcomb123456	65.0	2411.0	0.9619053696200108	0.6652929107439621	0.8923076923076924	0.6153846153846154	0.36923076923076925
