Model	#pos	#neg	AUROC	AP	Rc|FPR1e-1	Rc|FPR1e-2	Rc|FPR1e-3
bass-model1	54.0	2411.0	0.9613653470974085	0.479051931637721	0.8703703703703703	0.3888888888888889	0.2037037037037037
bass-model2	54.0	2411.0	0.9906831343994347	0.7405287096416852	1.0	0.7222222222222222	0.37037037037037035
bass-model3	54.0	2411.0	0.9605588583191238	0.6917157512866194	0.8888888888888888	0.6296296296296297	0.37037037037037035
bass-model4	54.0	2411.0	0.9489070156842866	0.5894396097090019	0.8333333333333334	0.5740740740740741	0.3148148148148148
bass-model5	54.0	2411.0	0.9888243697866261	0.8140488352390757	0.9814814814814815	0.8518518518518519	0.5555555555555556
bass-model6	54.0	2411.0	0.9641688557076363	0.6418955686970236	0.8888888888888888	0.6111111111111112	0.18518518518518517
bass-model-avg	54.0	2411.0	0.9690845968324192	0.6594467343685212	0.910493827160494	0.6296296296296297	0.3333333333333333
bass-modelcomb123456	54.0	2411.0	0.9929873880516767	0.8222492448208222	1.0	0.7962962962962963	0.5740740740740741
